Date,Strategy,Daily_Return,Tickers_Count,Cumulative_Return,Sectors_Count,Selected_Sectors
2020-01-03,Buy and Hold,-0.005690208082523477,27.0,-0.005690208082523518,,
2020-01-06,Buy and Hold,0.006914778744904242,27.0,0.0011852241324776802,,
2020-01-07,Buy and Hold,-0.007119932721072935,27.0,-0.0059431473046778205,,
2020-01-08,Buy and Hold,0.009818453726320302,27.0,0.0038169539048429346,,
2020-01-09,Buy and Hold,0.0028306502509242385,27.0,0.00665840861729583,,
2020-01-10,Buy and Hold,-0.00895028482198081,27.0,-0.002351470858270921,,
2020-01-13,Buy and Hold,0.012043234938842337,27.0,0.009663444764573592,,
2020-01-14,Buy and Hold,-0.004135913558354989,27.0,0.005487564033996417,,
2020-01-15,Buy and Hold,0.002669879015585296,27.0,0.008172094181642775,,
2020-01-16,Buy and Hold,0.012336974382375365,27.0,0.02060988748058734,,
2020-01-17,Buy and Hold,0.003075216031197272,27.0,0.02374848336816604,,
2020-01-21,Buy and Hold,-0.006822683610305424,27.0,0.016763771369614933,,
2020-01-22,Buy and Hold,-0.008437444854309953,27.0,0.008184883118823594,,
2020-01-23,Buy and Hold,0.012680892376411144,27.0,0.020969567117178123,,
2020-01-24,Buy and Hold,-0.006026277534855798,27.0,0.014816921151088458,,
2020-01-27,Buy and Hold,-0.019619326692757098,27.0,-0.005093103558312717,,
2020-01-28,Buy and Hold,0.011080100017805735,27.0,0.005930564362665924,,
2020-01-29,Buy and Hold,-0.0020469109769264424,27.0,0.003871514048446212,,
2020-01-30,Buy and Hold,0.009903654765083102,27.0,0.013813510952083163,,
2020-01-31,Buy and Hold,-0.018803615478280168,27.0,-0.005249848474544905,,
2020-02-03,Buy and Hold,0.011688611487880834,27.0,0.006377399574146736,,
2020-02-04,Buy and Hold,0.024807949895056157,27.0,0.03134355967829916,,
2020-02-05,Buy and Hold,0.01001399254351279,27.0,0.04167142639471755,,
2020-02-06,Buy and Hold,0.0016961589546456797,27.0,0.04343826671239537,,
2020-02-07,Buy and Hold,-0.0035314014503059245,27.0,0.039753467304022516,,
2020-02-10,Buy and Hold,0.009068988407965545,27.0,0.04918297944614469,,
2020-02-11,Buy and Hold,0.008318613614170372,27.0,0.057910727262721284,,
2020-02-12,Buy and Hold,0.011075578831461687,27.0,0.06962770091916837,,
2020-02-13,Buy and Hold,-0.0002781648238029509,27.0,0.06933016811820747,,
2020-02-14,Buy and Hold,0.0005011479918154659,27.0,0.0698660607845476,,
2020-02-18,Buy and Hold,0.0018946280208959206,27.0,0.07189305900191556,,
2020-02-19,Buy and Hold,0.00332528390839393,27.0,0.07545740774253384,,
2020-02-20,Buy and Hold,-0.006829194828207402,27.0,0.06811289957562106,,
2020-02-21,Buy and Hold,-0.007134845615450165,27.0,0.06049207893727804,,
2020-02-24,Buy and Hold,-0.030984274595338687,27.0,0.027633501157303897,,
2020-02-25,Buy and Hold,-0.028682189960090435,27.0,-0.001841278132242663,,
2020-02-26,Buy and Hold,0.008292314291081545,27.0,0.006435767701869155,,
2020-02-27,Buy and Hold,-0.037728896670613424,27.0,-0.031535943383364184,,
2020-02-28,Buy and Hold,-0.010108723508005027,27.0,-0.04132587875914273,,
2020-03-02,Buy and Hold,0.04676452234845564,27.0,0.0035060586085113865,,
2020-03-03,Buy and Hold,-0.030596156164558026,27.0,-0.02719736947275475,,
2020-03-04,Buy and Hold,0.04052681448792483,27.0,0.012227222267988003,,
2020-03-05,Buy and Hold,-0.034206373789949146,27.0,-0.022397400457272787,,
2020-03-06,Buy and Hold,-0.014594628044941719,27.0,-0.03666514677336696,,
2020-03-09,Buy and Hold,-0.08571659815051914,27.0,-0.11923893327178359,,
2020-03-10,Buy and Hold,0.04841213673537497,27.0,-0.07659940807814247,,
2020-03-11,Buy and Hold,-0.04777021292727439,27.0,-0.12071045097142075,,
2020-03-12,Buy and Hold,-0.09277868683335277,27.0,-0.20228978067658332,,
2020-03-13,Buy and Hold,0.0887811200703069,27.0,-0.13146817391352028,,
2020-03-16,Buy and Hold,-0.11585463183577123,27.0,-0.23209160886241953,,
2020-03-17,Buy and Hold,0.05896502035835832,27.0,-0.186811874945638,,
2020-03-18,Buy and Hold,-0.05853983702900032,27.0,-0.2344157752602387,,
2020-03-19,Buy and Hold,0.025742063112842717,27.0,-0.2147080578287911,,
2020-03-20,Buy and Hold,-0.036637488114889594,27.0,-0.2434791820268074,,
2020-03-23,Buy and Hold,-0.011069597251800635,27.0,-0.25185356279437343,,
2020-03-24,Buy and Hold,0.08139837370550984,27.0,-0.19095565951226412,,
2020-03-25,Buy and Hold,0.01835309159852599,27.0,-0.1761071946240237,,
2020-03-26,Buy and Hold,0.07164058655347155,27.0,-0.11708303078970361,,
2020-03-27,Buy and Hold,-0.03162324224920757,27.0,-0.1450037279929769,,
2020-03-30,Buy and Hold,0.037459805765392026,27.0,-0.11297573371345948,,
2020-03-31,Buy and Hold,-0.0035623036153645746,27.0,-0.11613558346416819,,
2020-04-01,Buy and Hold,-0.037883614524547776,27.0,-0.149619562312176,,
2020-04-02,Buy and Hold,0.027587979255490953,27.0,-0.12615928443796898,,
2020-04-03,Buy and Hold,-0.019727822913090453,27.0,-0.143398259328825,,
2020-04-06,Buy and Hold,0.06794835009783941,27.0,-0.08519358435928126,,
2020-04-07,Buy and Hold,-0.015437270158270244,27.0,-0.09931569814004593,,
2020-04-08,Buy and Hold,0.02624318764214388,27.0,-0.07567887100000181,,
2020-04-09,Buy and Hold,0.012299213009360327,27.0,-0.06431044854537826,,
